overlapGenesTissue1,overlapGenesTissue2,overlapGenesTissue3,overlapGenesTissue4,overlapGenesTissue5,overlapGenesTissue6,overlapGenesTissue7,overlapGenesTissue8,overlapGenesTissue9,overlapGenesTissue10,overlapGenesTissue11,overlapGenesTissue12,overlapGenesTissue13,overlapGenesTissue14,overlapGenesTissue15,overlapGenesTissue16,overlapGenesTissue17,overlapGenesTissue18,overlapGenesTissue19,overlapGenesTissue20,overlapGenesTissue21,overlapGenesTissue22,overlapGenesTissue23,overlapGenesTissue24,overlapGenesTissue25,overlapGenesTissue26,overlapGenesTissue27
,,Fes,,,,,,,,,Wdr81,,,,,,,,,Sun1,,,Vps13c,,,
,,Ffar2,,,,,,,,,Wfs1,,,,,,,,,Synj1,,,Vwa5a,,,
,,Flot1,,,,,,,,,Wnk1,,,,,,,,,Taf13,,,Wdr26,,,
,,Flot2,,,,,,,,,Wrn,,,,,,,,,Taok3,,,Wipf1,,,
,,Flt3,,,,,,,,,Xkrx,,,,,,,,,Tap1,,,Xaf1,,,
,,Fnbp1l,,,,,,,,,Ywhag,,,,,,,,,Tax1bp3,,,Xdh,,,
,,Fnta,,,,,,,,,Zc3h12c,,,,,,,,,Tbc1d5,,,Zbp1,,,
,,Foxk2,,,,,,,,,Zcchc24,,,,,,,,,Tbc1d8,,,Zeb2,,,
,,Frat1,,,,,,,,,Zcchc6,,,,,,,,,Tbc1d9,,,Zfp36,,,
,,Frrs1,,,,,,,,,Zdhhc20,,,,,,,,,Tbca,,,Zfp710,,,
,,Ftsj1,,,,,,,,,Zdhhc8,,,,,,,,,Tcirg1,,,Zyx,,,
,,Fubp3,,,,,,,,,Zfp131,,,,,,,,,Tdrd7,,,,,,
,,Fut7,,,,,,,,,Zfp187,,,,,,,,,Tet2,,,,,,
,,Fxn,,,,,,,,,Zfp217,,,,,,,,,Tfe3,,,,,,
,,G6pdx,,,,,,,,,Zfp238,,,,,,,,,Thbd,,,,,,
,,Gaa,,,,,,,,,Zfp263,,,,,,,,,Thbs1,,,,,,
,,Galk2,,,,,,,,,Zfp398,,,,,,,,,Tiam1,,,,,,
,,Galns,,,,,,,,,Zfp592,,,,,,,,,Ticam2,,,,,,
,,Galnt2,,,,,,,,,Zfp691,,,,,,,,,Tle3,,,,,,
,,Galt,,,,,,,,,Zfp740,,,,,,,,,Tlr13,,,,,,
,,Gas2l3,,,,,,,,,Zfp810,,,,,,,,,Tlr8,,,,,,
,,Gata2,,,,,,,,,Zfp91,,,,,,,,,Tm2d1,,,,,,
,,Gatad1,,,,,,,,,Zmiz1,,,,,,,,,Tm9sf4,,,,,,
,,Gatc,,,,,,,,,Znf512b,,,,,,,,,Tmco1,,,,,,
,,Gbas,,,,,,,,,Znhit2-ps,,,,,,,,,Tmed2,,,,,,
,,Gbe1,,,,,,,,,Znrf2,,,,,,,,,Tmem104,,,,,,
,,Gca,,,,,,,,,Zscan29,,,,,,,,,Tmem109,,,,,,
,,Gclm,,,,,,,,,Zufsp,,,,,,,,,Tmem131,,,,,,
,,Gcnt2,,,,,,,,,Zzef1,,,,,,,,,Tmem14c,,,,,,
,,Gde1,,,,,,,,,,,,,,,,,,Tmem165,,,,,,
,,Gemin6,,,,,,,,,,,,,,,,,,Tmem173,,,,,,
,,Get4,,,,,,,,,,,,,,,,,,Tmem184b,,,,,,
,,Gfer,,,,,,,,,,,,,,,,,,Tmem192,,,,,,
,,Gfi1,,,,,,,,,,,,,,,,,,Tmem33,,,,,,
,,Ggh,,,,,,,,,,,,,,,,,,Tmem43,,,,,,
,,Gins1,,,,,,,,,,,,,,,,,,Tmem50b,,,,,,
,,Gins2,,,,,,,,,,,,,,,,,,Tmem55b,,,,,,
,,Gins4,,,,,,,,,,,,,,,,,,Tnfsf13,,,,,,
,,Gipc1,,,,,,,,,,,,,,,,,,Tns3,,,,,,
,,Glb1,,,,,,,,,,,,,,,,,,Tom1,,,,,,
,,Glo1,,,,,,,,,,,,,,,,,,Tor1b,,,,,,
,,Glod4,,,,,,,,,,,,,,,,,,Tpcn1,,,,,,
,,Glrx2,,,,,,,,,,,,,,,,,,Tppp3,,,,,,
,,Glrx5,,,,,,,,,,,,,,,,,,Tpra1,,,,,,
,,Glt8d1,,,,,,,,,,,,,,,,,,Tpst2,,,,,,
,,Gltp,,,,,,,,,,,,,,,,,,Trappc1,,,,,,
,,Gm11428,,,,,,,,,,,,,,,,,,Trim25,,,,,,
,,Gm11974,,,,,,,,,,,,,,,,,,Trim30d,,,,,,
,,Gm1821,,,,,,,,,,,,,,,,,,Trio,,,,,,
,,Gm5111,,,,,,,,,,,,,,,,,,Trpv2,,,,,,
,,Gm5148,,,,,,,,,,,,,,,,,,Tspan31,,,,,,
,,Gm561,,,,,,,,,,,,,,,,,,Tubb2a,,,,,,
,,Gm5643,,,,,,,,,,,,,,,,,,Tusc1,,,,,,
,,Gm6654,,,,,,,,,,,,,,,,,,Twf2,,,,,,
,,Gm6981,,,,,,,,,,,,,,,,,,Txndc15,,,,,,
,,Gm9781,,,,,,,,,,,,,,,,,,Txndc17,,,,,,
,,Gmds,,,,,,,,,,,,,,,,,,Tyk2,,,,,,
,,Gmnn,,,,,,,,,,,,,,,,,,Ubash3b,,,,,,
,,Gmppa,,,,,,,,,,,,,,,,,,Ube2f,,,,,,
,,Gmpr,,,,,,,,,,,,,,,,,,Ube2l6,,,,,,
,,Gmpr2,,,,,,,,,,,,,,,,,,Ucp2,,,,,,
,,Gna15,,,,,,,,,,,,,,,,,,Ufsp2,,,,,,
,,Gnb1,,,,,,,,,,,,,,,,,,Uggt1,,,,,,
,,Gng5,,,,,,,,,,,,,,,,,,Ugt1a7c,,,,,,
,,Gnl2,,,,,,,,,,,,,,,,,,Unc119,,,,,,
,,Gnl3l,,,,,,,,,,,,,,,,,,Unc119b,,,,,,
,,Gnpda2,,,,,,,,,,,,,,,,,,Usp12,,,,,,
,,Gnpnat1,,,,,,,,,,,,,,,,,,Usp18,,,,,,
,,Golim4,,,,,,,,,,,,,,,,,,Uvrag,,,,,,
,,Golt1b,,,,,,,,,,,,,,,,,,Uxs1,,,,,,
,,Gpaa1,,,,,,,,,,,,,,,,,,Vamp3,,,,,,
,,Gpc1,,,,,,,,,,,,,,,,,,Vamp4,,,,,,
,,Gpn1,,,,,,,,,,,,,,,,,,Vcan,,,,,,
,,Gpr160,,,,,,,,,,,,,,,,,,Vhl,,,,,,
,,Gpr171,,,,,,,,,,,,,,,,,,Vmp1,,,,,,
,,Gpr65,,,,,,,,,,,,,,,,,,Vps26a,,,,,,
,,Gps1,,,,,,,,,,,,,,,,,,Vps35,,,,,,
,,Gpx1,,,,,,,,,,,,,,,,,,Vrk1,,,,,,
,,Gpx3,,,,,,,,,,,,,,,,,,Vrk2,,,,,,
,,Gpx4,,,,,,,,,,,,,,,,,,Wdfy3,,,,,,
,,Gramd1b,,,,,,,,,,,,,,,,,,Ythdf3,,,,,,
,,Grcc10,,,,,,,,,,,,,,,,,,Ywhag,,,,,,
,,Grwd1,,,,,,,,,,,,,,,,,,Zbtb7b,,,,,,
,,Gstcd,,,,,,,,,,,,,,,,,,Zcchc24,,,,,,
,,Gstp1,,,,,,,,,,,,,,,,,,Zdhhc7,,,,,,
,,Gstt2,,,,,,,,,,,,,,,,,,Zdhhc9,,,,,,
,,Gstz1,,,,,,,,,,,,,,,,,,Zfhx3,,,,,,
,,Gtf2f1,,,,,,,,,,,,,,,,,,Zfp385a,,,,,,
,,Gtf2f2,,,,,,,,,,,,,,,,,,Zmiz1,,,,,,
,,Gtf2h3,,,,,,,,,,,,,,,,,,Znfx1,,,,,,
,,Gtf2ird1,,,,,,,,,,,,,,,,,,Znhit1,,,,,,
,,Gtf3c6,,,,,,,,,,,,,,,,,,Znrf2,,,,,,
,,Gtl3,,,,,,,,,,,,,,,,,,,,,,,,
,,Gtpbp5,,,,,,,,,,,,,,,,,,,,,,,,
,,Guca1a,,,,,,,,,,,,,,,,,,,,,,,,
,,Guk1,,,,,,,,,,,,,,,,,,,,,,,,
,,Gyg,,,,,,,,,,,,,,,,,,,,,,,,
,,Gypc,,,,,,,,,,,,,,,,,,,,,,,,
,,Gys1,,,,,,,,,,,,,,,,,,,,,,,,
,,H1f0,,,,,,,,,,,,,,,,,,,,,,,,
,,H2-Ke6,,,,,,,,,,,,,,,,,,,,,,,,
,,H2afv,,,,,,,,,,,,,,,,,,,,,,,,
,,H2afz,,,,,,,,,,,,,,,,,,,,,,,,
,,Haghl,,,,,,,,,,,,,,,,,,,,,,,,
,,Hat1,,,,,,,,,,,,,,,,,,,,,,,,
,,Haus1,,,,,,,,,,,,,,,,,,,,,,,,
,,Haus4,,,,,,,,,,,,,,,,,,,,,,,,
,,Haus5,,,,,,,,,,,,,,,,,,,,,,,,
,,Haus7,,,,,,,,,,,,,,,,,,,,,,,,
,,Haus8,,,,,,,,,,,,,,,,,,,,,,,,
,,Hax1,,,,,,,,,,,,,,,,,,,,,,,,
,,Hddc2,,,,,,,,,,,,,,,,,,,,,,,,
,,Hdgfrp3,,,,,,,,,,,,,,,,,,,,,,,,
,,Hdhd2,,,,,,,,,,,,,,,,,,,,,,,,
,,Hibch,,,,,,,,,,,,,,,,,,,,,,,,
,,Hilpda,,,,,,,,,,,,,,,,,,,,,,,,
,,Hint2,,,,,,,,,,,,,,,,,,,,,,,,
,,Hirip3,,,,,,,,,,,,,,,,,,,,,,,,
,,Hist1h2ag,,,,,,,,,,,,,,,,,,,,,,,,
,,Hist1h2ao,,,,,,,,,,,,,,,,,,,,,,,,
,,Hist1h2bj,,,,,,,,,,,,,,,,,,,,,,,,
,,Hist1h3c,,,,,,,,,,,,,,,,,,,,,,,,
,,Hist1h3d,,,,,,,,,,,,,,,,,,,,,,,,
,,Hist1h3e,,,,,,,,,,,,,,,,,,,,,,,,
,,Hist1h3f,,,,,,,,,,,,,,,,,,,,,,,,
,,Hist1h4d,,,,,,,,,,,,,,,,,,,,,,,,
,,Hist2h2ac,,,,,,,,,,,,,,,,,,,,,,,,
,,Hk2,,,,,,,,,,,,,,,,,,,,,,,,
,,Hk3,,,,,,,,,,,,,,,,,,,,,,,,
,,Hlf,,,,,,,,,,,,,,,,,,,,,,,,
,,Hmbs,,,,,,,,,,,,,,,,,,,,,,,,
,,Hmg20b,,,,,,,,,,,,,,,,,,,,,,,,
,,Hmga2,,,,,,,,,,,,,,,,,,,,,,,,
,,Hmgb2,,,,,,,,,,,,,,,,,,,,,,,,
,,Hmgcr,,,,,,,,,,,,,,,,,,,,,,,,
,,Hmgn2,,,,,,,,,,,,,,,,,,,,,,,,
,,Hmgn3,,,,,,,,,,,,,,,,,,,,,,,,
,,Hmox2,,,,,,,,,,,,,,,,,,,,,,,,
,,Hn1l,,,,,,,,,,,,,,,,,,,,,,,,
,,Hnrnpa0,,,,,,,,,,,,,,,,,,,,,,,,
,,Hnrpll,,,,,,,,,,,,,,,,,,,,,,,,
,,Homer3,,,,,,,,,,,,,,,,,,,,,,,,
,,Hoxa10,,,,,,,,,,,,,,,,,,,,,,,,
,,Hoxa7,,,,,,,,,,,,,,,,,,,,,,,,
,,Hoxa9,,,,,,,,,,,,,,,,,,,,,,,,
,,Hps1,,,,,,,,,,,,,,,,,,,,,,,,
,,Hras1,,,,,,,,,,,,,,,,,,,,,,,,
,,Hrsp12,,,,,,,,,,,,,,,,,,,,,,,,
,,Hsbp1,,,,,,,,,,,,,,,,,,,,,,,,
,,Hscb,,,,,,,,,,,,,,,,,,,,,,,,
,,Hsd11b1,,,,,,,,,,,,,,,,,,,,,,,,
,,Hsd17b10,,,,,,,,,,,,,,,,,,,,,,,,
,,Hsd17b12,,,,,,,,,,,,,,,,,,,,,,,,
,,Hsd3b7,,,,,,,,,,,,,,,,,,,,,,,,
,,Hsf2,,,,,,,,,,,,,,,,,,,,,,,,
,,Hspa4l,,,,,,,,,,,,,,,,,,,,,,,,
,,Hspbp1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ica1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ide,,,,,,,,,,,,,,,,,,,,,,,,
,,Ier3,,,,,,,,,,,,,,,,,,,,,,,,
,,Ifi27l1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ifih1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ifitm2,,,,,,,,,,,,,,,,,,,,,,,,
,,Ifitm3,,,,,,,,,,,,,,,,,,,,,,,,
,,Ifrd2,,,,,,,,,,,,,,,,,,,,,,,,
,,Ift27,,,,,,,,,,,,,,,,,,,,,,,,
,,Ift57,,,,,,,,,,,,,,,,,,,,,,,,
,,Igbp1,,,,,,,,,,,,,,,,,,,,,,,,
,,Igf1r,,,,,,,,,,,,,,,,,,,,,,,,
,,Igf2r,,,,,,,,,,,,,,,,,,,,,,,,
,,Igsf6,,,,,,,,,,,,,,,,,,,,,,,,
,,Igtp,,,,,,,,,,,,,,,,,,,,,,,,
,,Ikzf2,,,,,,,,,,,,,,,,,,,,,,,,
,,Il11ra1,,,,,,,,,,,,,,,,,,,,,,,,
,,Il15,,,,,,,,,,,,,,,,,,,,,,,,
,,Ilf2,,,,,,,,,,,,,,,,,,,,,,,,
,,Ilkap,,,,,,,,,,,,,,,,,,,,,,,,
,,Immp1l,,,,,,,,,,,,,,,,,,,,,,,,
,,Imp4,,,,,,,,,,,,,,,,,,,,,,,,
,,Impact,,,,,,,,,,,,,,,,,,,,,,,,
,,Ing5,,,,,,,,,,,,,,,,,,,,,,,,
,,Ino80b,,,,,,,,,,,,,,,,,,,,,,,,
,,Inpp1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ipo11,,,,,,,,,,,,,,,,,,,,,,,,
,,Ipo4,,,,,,,,,,,,,,,,,,,,,,,,
,,Irf2bp2,,,,,,,,,,,,,,,,,,,,,,,,
,,Isg20,,,,,,,,,,,,,,,,,,,,,,,,
,,Isoc1,,,,,,,,,,,,,,,,,,,,,,,,
,,Isy1,,,,,,,,,,,,,,,,,,,,,,,,
,,Isyna1,,,,,,,,,,,,,,,,,,,,,,,,
,,Itgb2l,,,,,,,,,,,,,,,,,,,,,,,,
,,Itgb3bp,,,,,,,,,,,,,,,,,,,,,,,,
,,Itih5,,,,,,,,,,,,,,,,,,,,,,,,
,,Itm2a,,,,,,,,,,,,,,,,,,,,,,,,
,,Itm2b,,,,,,,,,,,,,,,,,,,,,,,,
,,Itpa,,,,,,,,,,,,,,,,,,,,,,,,
,,Itpripl1,,,,,,,,,,,,,,,,,,,,,,,,
,,Jagn1,,,,,,,,,,,,,,,,,,,,,,,,
,,Jdp2,,,,,,,,,,,,,,,,,,,,,,,,
,,Jmjd8,,,,,,,,,,,,,,,,,,,,,,,,
,,Josd2,,,,,,,,,,,,,,,,,,,,,,,,
,,Kcnn4,,,,,,,,,,,,,,,,,,,,,,,,
,,Kctd1,,,,,,,,,,,,,,,,,,,,,,,,
,,Kctd2,,,,,,,,,,,,,,,,,,,,,,,,
,,Kdsr,,,,,,,,,,,,,,,,,,,,,,,,
,,Khk,,,,,,,,,,,,,,,,,,,,,,,,
,,Klf16,,,,,,,,,,,,,,,,,,,,,,,,
,,Klf5,,,,,,,,,,,,,,,,,,,,,,,,
,,Klf9,,,,,,,,,,,,,,,,,,,,,,,,
,,Klhdc2,,,,,,,,,,,,,,,,,,,,,,,,
,,Klhl9,,,,,,,,,,,,,,,,,,,,,,,,
,,Klk8,,,,,,,,,,,,,,,,,,,,,,,,
,,Krt18,,,,,,,,,,,,,,,,,,,,,,,,
,,Kti12,,,,,,,,,,,,,,,,,,,,,,,,
,,Lamtor3,,,,,,,,,,,,,,,,,,,,,,,,
,,Lancl1,,,,,,,,,,,,,,,,,,,,,,,,
,,Laptm4a,,,,,,,,,,,,,,,,,,,,,,,,
,,Laptm4b,,,,,,,,,,,,,,,,,,,,,,,,
,,Larp1b,,,,,,,,,,,,,,,,,,,,,,,,
,,Lass2,,,,,,,,,,,,,,,,,,,,,,,,
,,Lat,,,,,,,,,,,,,,,,,,,,,,,,
,,Lcmt1,,,,,,,,,,,,,,,,,,,,,,,,
,,Lcn2,,,,,,,,,,,,,,,,,,,,,,,,
,,Ldb1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ldhb,,,,,,,,,,,,,,,,,,,,,,,,
,,Ldlrap1,,,,,,,,,,,,,,,,,,,,,,,,
,,Leo1,,,,,,,,,,,,,,,,,,,,,,,,
,,Lgals3bp,,,,,,,,,,,,,,,,,,,,,,,,
,,Lig1,,,,,,,,,,,,,,,,,,,,,,,,
,,Limk1,,,,,,,,,,,,,,,,,,,,,,,,
,,Lin37,,,,,,,,,,,,,,,,,,,,,,,,
,,Lmnb2,,,,,,,,,,,,,,,,,,,,,,,,
,,Lpcat3,,,,,,,,,,,,,,,,,,,,,,,,
,,Lpcat4,,,,,,,,,,,,,,,,,,,,,,,,
,,Lrpap1,,,,,,,,,,,,,,,,,,,,,,,,
,,Lrrc14,,,,,,,,,,,,,,,,,,,,,,,,
,,Lrrc8a,,,,,,,,,,,,,,,,,,,,,,,,
,,Lrrfip2,,,,,,,,,,,,,,,,,,,,,,,,
,,Lsm1,,,,,,,,,,,,,,,,,,,,,,,,
,,Lsm10,,,,,,,,,,,,,,,,,,,,,,,,
,,Lsm5,,,,,,,,,,,,,,,,,,,,,,,,
,,Ltb4r1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ltbr,,,,,,,,,,,,,,,,,,,,,,,,
,,Ltf,,,,,,,,,,,,,,,,,,,,,,,,
,,Ltv1,,,,,,,,,,,,,,,,,,,,,,,,
,,Lxn,,,,,,,,,,,,,,,,,,,,,,,,
,,Ly6a,,,,,,,,,,,,,,,,,,,,,,,,
,,Ly75,,,,,,,,,,,,,,,,,,,,,,,,
,,Lyrm2,,,,,,,,,,,,,,,,,,,,,,,,
,,Lyrm4,,,,,,,,,,,,,,,,,,,,,,,,
,,Lyrm5,,,,,,,,,,,,,,,,,,,,,,,,
,,Lztfl1,,,,,,,,,,,,,,,,,,,,,,,,
,,Lzts2,,,,,,,,,,,,,,,,,,,,,,,,
,,Macrod1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mad2l2,,,,,,,,,,,,,,,,,,,,,,,,
,,Maged1,,,,,,,,,,,,,,,,,,,,,,,,
,,Magohb,,,,,,,,,,,,,,,,,,,,,,,,
,,Maml3,,,,,,,,,,,,,,,,,,,,,,,,
,,Marcksl1,,,,,,,,,,,,,,,,,,,,,,,,
,,Marveld1,,,,,,,,,,,,,,,,,,,,,,,,
,,Matk,,,,,,,,,,,,,,,,,,,,,,,,
,,Mbd3,,,,,,,,,,,,,,,,,,,,,,,,
,,Mbnl3,,,,,,,,,,,,,,,,,,,,,,,,
,,Mcat,,,,,,,,,,,,,,,,,,,,,,,,
,,Mcee,,,,,,,,,,,,,,,,,,,,,,,,
,,Mdn1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mea1,,,,,,,,,,,,,,,,,,,,,,,,
,,Meaf6,,,,,,,,,,,,,,,,,,,,,,,,
,,Med7,,,,,,,,,,,,,,,,,,,,,,,,
,,Med8,,,,,,,,,,,,,,,,,,,,,,,,
,,Med9,,,,,,,,,,,,,,,,,,,,,,,,
,,Megf9,,,,,,,,,,,,,,,,,,,,,,,,
,,Meis1,,,,,,,,,,,,,,,,,,,,,,,,
,,Memo1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mesdc2,,,,,,,,,,,,,,,,,,,,,,,,
,,Metap2,,,,,,,,,,,,,,,,,,,,,,,,
,,Metrn,,,,,,,,,,,,,,,,,,,,,,,,
,,Mettl1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mettl10,,,,,,,,,,,,,,,,,,,,,,,,
,,Mettl11a,,,,,,,,,,,,,,,,,,,,,,,,
,,Mettl2,,,,,,,,,,,,,,,,,,,,,,,,
,,Mettl5,,,,,,,,,,,,,,,,,,,,,,,,
,,Mettl7a1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mfge8,,,,,,,,,,,,,,,,,,,,,,,,
,,Mfng,,,,,,,,,,,,,,,,,,,,,,,,
,,Mgat4b,,,,,,,,,,,,,,,,,,,,,,,,
,,Mgmt,,,,,,,,,,,,,,,,,,,,,,,,
,,Mgst2,,,,,,,,,,,,,,,,,,,,,,,,
,,Mgst3,,,,,,,,,,,,,,,,,,,,,,,,
,,Mid1ip1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mina,,,,,,,,,,,,,,,,,,,,,,,,
,,Mipep,,,,,,,,,,,,,,,,,,,,,,,,
,,Mitd1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mkl2,,,,,,,,,,,,,,,,,,,,,,,,
,,Mkrn2,,,,,,,,,,,,,,,,,,,,,,,,
,,Mlkl,,,,,,,,,,,,,,,,,,,,,,,,
,,Mllt11,,,,,,,,,,,,,,,,,,,,,,,,
,,Mlst8,,,,,,,,,,,,,,,,,,,,,,,,
,,Mlycd,,,,,,,,,,,,,,,,,,,,,,,,
,,Mmachc,,,,,,,,,,,,,,,,,,,,,,,,
,,Mmadhc,,,,,,,,,,,,,,,,,,,,,,,,
,,Mmgt2,,,,,,,,,,,,,,,,,,,,,,,,
,,Mms22l,,,,,,,,,,,,,,,,,,,,,,,,
,,Mn1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mnat1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mob2,,,,,,,,,,,,,,,,,,,,,,,,
,,Mocs2,,,,,,,,,,,,,,,,,,,,,,,,
,,Morf4l1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mospd3,,,,,,,,,,,,,,,,,,,,,,,,
,,Mpdu1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mphosph10,,,,,,,,,,,,,,,,,,,,,,,,
,,Mphosph6,,,,,,,,,,,,,,,,,,,,,,,,
,,Mpl,,,,,,,,,,,,,,,,,,,,,,,,
,,Mpp6,,,,,,,,,,,,,,,,,,,,,,,,
,,Mpst,,,,,,,,,,,,,,,,,,,,,,,,
,,Mpv17,,,,,,,,,,,,,,,,,,,,,,,,
,,Mpv17l2,,,,,,,,,,,,,,,,,,,,,,,,
,,Mri1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrm1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl13,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl14,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl16,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl2,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl20,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl22,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl27,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl3,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl30,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl32,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl35,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl38,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl39,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl4,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl40,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl41,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl45,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl46,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl48,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl53,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrpl55,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrps16,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrps18a,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrps18c,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrps2,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrps22,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrps23,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrps25,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrps26,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrps27,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrps30,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrps31,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrps35,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrps6,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrps7,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrps9,,,,,,,,,,,,,,,,,,,,,,,,
,,Mrrf,,,,,,,,,,,,,,,,,,,,,,,,
,,Msra,,,,,,,,,,,,,,,,,,,,,,,,
,,Msrb2,,,,,,,,,,,,,,,,,,,,,,,,
,,Msto1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mtap,,,,,,,,,,,,,,,,,,,,,,,,
,,Mterfd1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mtf1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mtf2,,,,,,,,,,,,,,,,,,,,,,,,
,,Mthfd2,,,,,,,,,,,,,,,,,,,,,,,,
,,Mtx1,,,,,,,,,,,,,,,,,,,,,,,,
,,Mtx2,,,,,,,,,,,,,,,,,,,,,,,,
,,Mybl2,,,,,,,,,,,,,,,,,,,,,,,,
,,Mycbp,,,,,,,,,,,,,,,,,,,,,,,,
,,Mycn,,,,,,,,,,,,,,,,,,,,,,,,
,,Myct1,,,,,,,,,,,,,,,,,,,,,,,,
,,Myg1,,,,,,,,,,,,,,,,,,,,,,,,
,,Myl10,,,,,,,,,,,,,,,,,,,,,,,,
,,Mzt2,,,,,,,,,,,,,,,,,,,,,,,,
,,N6amt1,,,,,,,,,,,,,,,,,,,,,,,,
,,N6amt2,,,,,,,,,,,,,,,,,,,,,,,,
,,Naa20,,,,,,,,,,,,,,,,,,,,,,,,
,,Nagk,,,,,,,,,,,,,,,,,,,,,,,,
,,Nagpa,,,,,,,,,,,,,,,,,,,,,,,,
,,Nanp,,,,,,,,,,,,,,,,,,,,,,,,
,,Nap1l4,,,,,,,,,,,,,,,,,,,,,,,,
,,Nat6,,,,,,,,,,,,,,,,,,,,,,,,
,,Nbn,,,,,,,,,,,,,,,,,,,,,,,,
,,Ncam1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ncapd3,,,,,,,,,,,,,,,,,,,,,,,,
,,Ncapg2,,,,,,,,,,,,,,,,,,,,,,,,
,,Ncbp2,,,,,,,,,,,,,,,,,,,,,,,,
,,Nceh1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ncs1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ndnl2,,,,,,,,,,,,,,,,,,,,,,,,
,,Ndufa6,,,,,,,,,,,,,,,,,,,,,,,,
,,Ndufaf1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ndufb10,,,,,,,,,,,,,,,,,,,,,,,,
,,Ndufb4,,,,,,,,,,,,,,,,,,,,,,,,
,,Ndufb6,,,,,,,,,,,,,,,,,,,,,,,,
,,Ndufb7,,,,,,,,,,,,,,,,,,,,,,,,
,,Ndufb9,,,,,,,,,,,,,,,,,,,,,,,,
,,Ndufs4,,,,,,,,,,,,,,,,,,,,,,,,
,,Ndufs6,,,,,,,,,,,,,,,,,,,,,,,,
,,Ndufv1,,,,,,,,,,,,,,,,,,,,,,,,
,,Ndufv3,,,,,,,,,,,,,,,,,,,,,,,,
,,Nenf,,,,,,,,,,,,,,,,,,,,,,,,
,,Nfe2,,,,,,,,,,,,,,,,,,,,,,,,
,,Nfia,,,,,,,,,,,,,,,,,,,,,,,,
,,Nfic,,,,,,,,,,,,,,,,,,,,,,,,
,,Nfix,,,,,,,,,,,,,,,,,,,,,,,,
